negocio,sector,ciudad,instagram,web,whatsapp_email,problema_detectado,mensaje_enviado,fecha,estado,proximo_paso
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
,,,,,,,No,,Pendiente,
